Front;Back;Document
How long do you have to complete a patient care record/report (PCR)?;PCR must be completed within 24 hours of disposition of the incident;Documentation of Patient Care Report
Under what circumstances may the medical director revoke a credential to practice as noted in the COGs? Be able to explain each of these in some detail.;<ol><li>Lapse, Loss, or Suspension of applicable Certification or Licensure from International Academies of Emergency Dispatch (IAED) or Texas Department of State Health Service (TDSHS)</li><li>Separation from All System Registered Responder Organizations</li><li>Any action taken against the provider’s certification/license by the certifying/licensing body (administrative review, suspension, etc.)</li><li>Arrest for a crime that meets the reporting requirements</li><li>FMLA/Military or other voluntary leave</li><li>Failure to complete patient care reports in a timely manner (notice at 7 days, administrative hold at 14 days)</li></ol>;OCMO Modification or Revocation of Credential to Practice
Explain when you would utilize the atypical clinical guideline and online medical direction;Use this guideline for complicated or unusual encounters either: <ol><li>When a case is covered by a guideline but needs operational or administrative clarification</li><li>When no guideline covers the situation and online medical control orders are needed. Contact the designated clinical supervisor first through Communications, and if medical control is needed contact the on-call System Medical Director or receiving hospital physician on a recorded line, then document names, times, and consultation details in the PCR</li></ol>;Atypical Guideline Utilization and Online Medical Direction
Under what circumstances can a provider cancel or alter a response?;After patient assessment, any on-scene credentialed provider may modify or cancel the response mode of any other system provider not already on scene. Additional specifics include: <ol><li>Before arrival, EMS specialty units with at least one provider at PL5 or higher (or OCMO providers) may replace an assigned ambulance on priority 4 or 5 calls except PSYC4F, respond non-emergency, and request transport if needed</li><li>C4 credentialed providers may cancel units on calls triaged to C4</li><li>If cancelled, responders may reduce to non-lights/sirens and still assist as appropriate</li></ol>;Cancellation or Alteration of Response
Explain specifics related to cardiac arrest documentation;For every cardiac arrest, document and narrate as many key elements as possible including team leader/unit, witnessed status, pre-arrest circumstances, patient description, bystander CPR, unusual findings, patient response, and major interventions. Verbalize and record interventions such as compressions start-stop and compressor switches, AED/monitor decisions, CPR feedback use, ventilation details, EtCO2 values and waveform, advanced airway placement and confirmation, pulse checks during rhythm analysis, medications, and ROSC;Cardiac Arrest Documentation
Explain what you will do if the patient is obviously deceased when you arrive;If the patient is pulseless and apneic and meets obvious death criteria (such as decomposition, decapitation, severe incineration, obviously mortal wounds, prolonged submersion, trauma with no signs of life, dependent lividity, or rigor mortis), do not initiate or continue resuscitation and document the specific criteria in the ePCR. Follow dead-on-scene crime scene management: if not credentialed to seek TOR, leave via the path of entry without touching anything. If TOR is required, only one properly credentialed provider should enter;Criteria for Death or Withholding Resuscitation
Discuss crime scene management;Crime scene management depends on the situation: <ol><li><u>No resuscitation initiated:</u> non-credentialed responders leave by path of entry without touching anything. Only one properly credentialed provider enters when TOR is needed</li><li><u>Unsuccessful resuscitation:</u> after TOR, immediately vacate area and mark unsuccessful IV/IO or pleural decompression attempts on the body</li><li><u>Patient transport:</u> leave removed clothing, jewelry, or other objects on scene and document/report locations to law enforcement, avoid cutting through existing clothing defects, notify receiving facility if sheet/personal effects may be evidence. If law enforcement is absent, first response agency remains outside perimeter until arrival</li><li><u>Exigent movement:</u> do not disturb or remove body without medical examiner authorization except statutory exceptions. If movement is requested, use evidence blankets when possible and preserve evidence</li></ol>;Crime Scene Management
Can we cover a decedent with a blanket from their home (hint: no);No. Never use items from the incident scene, including home blankets or sheets. A decedent may be covered only in coordination with law enforcement and only with a trace-evidence blanket when requested by law enforcement;Crime Scene
Explain under what circumstances and how we must report abuse and/or neglect of individuals aged 18 or older;For individuals 18 years or older, report when suspicious partner violence or elder abuse findings are present, including psychological indicators, physical injuries inconsistent with mechanism, or signs of neglect. Report immediately to DFPS hotline 800-252-5400. If patient refuses, report as soon as reasonably possible after leaving scene. If transported, report after transfer of care at the hospital. Notify receiving RN or physician of findings and document DFPS intake or case number in the PCR;Domestic Violence Recognition and Reporting
Explain under what circumstances and how we must report abuse and/or neglect of individuals aged under 18;For individuals younger than 18 years old, report when child abuse or neglect is suspected, especially when injuries or illness are not consistent with reported history. Healthcare providers are obligated to report to local law enforcement or the TDFPS hotline 800-252-5400 and should do so immediately. Complete reporting as soon as reasonably possible after transfer if needed, do not make the report in front of parent or caregiver, and notify receiving RN or physician when transported. Document who received the report and add an addendum if reporting occurs after PCR completion;Child Abuse Recognition and Reporting
Explain the process we would follow to report abuse and/or neglect;Stabilize and treat injuries first, then request law enforcement as needed for safety. Do not initiate the report in front of the patient, parent, or caregiver. Report to Texas Department of Family and Protective Services using the hotline 800-252-5400 as soon as reasonably possible, typically after transfer of care if transported. Notify receiving hospital staff of scene concerns and document who was notified and when. Include DFPS intake or case number in the PCR when applicable;Domestic Violence Recognition and Reporting
Explain how you would document suspected child (or any age) abuse;Document objective findings in detail, including exact quoted statements from the patient, parent, or caregiver, abnormal behaviors, scene and environment conditions, and who received the abuse report. Record reporting date and time and reporting destination. If reporting occurs after PCR completion, add an addendum with those reporting details. Include DFPS intake or case number for encounters reported to DFPS;Child Abuse Recognition and Reporting
There are four guiding principles regarding the assessment and treatment of the abused child, be able to list and discuss.;The four guiding principles are <ol><li><u>Protect</u> the child from harm</li><li><u>Suspect</u> abuse especially when injury or illness is not consistent with reported history</li><li><u>Respect</u> the privacy of the child and family</li><li><u>Collect</u> and document as much information as possible</li></ol>;Child Abuse Recognition and Reporting
What is child abuse?;Under CAPTA, child abuse and neglect means any recent act or failure to act by a parent or caretaker that results in death, serious physical or emotional harm, sexual abuse, or exploitation, or an act or failure to act that presents an imminent risk of serious harm;Child Abuse Recognition and Reporting
Explain general crime scene principles;General principles include initiating indicated resuscitation even on a possible crime scene, limiting scene contact to what patient care requires, avoiding use of any scene items, minimizing handling of evidence and documenting any moved items, discouraging victims from washing or cleaning up, handling weapons only when necessary with gloves and documentation, and following TOR and medical examiner jurisdiction requirements once resuscitation stops;Crime Scene
Under what circumstances would we withhold resuscitation?;Withhold resuscitation only when the patient is obviously dead by criteria or has a valid out of hospital DNR. If unsure, resuscitate. In a pulseless apneic patient this includes findings such as decomposition, decapitation, severe incineration, obviously mortal wounds, prolonged submersion greater than 20 minutes, blunt or penetrating trauma with no signs of life, dependent lividity, or rigor mortis in major joints;Criteria for Death or Withholding Resuscitation
Under what circumstances can a BLS provider contact communications for a Time of Death (TOD)?;A BLS provider may contact communications for time of death when resuscitative care was not initiated or continued and death criteria are met, after confirming pupils are fixed and dilated, carotid or femoral pulse is absent for 30 seconds, and apical heart sounds are absent for 30 seconds;Criteria for Death or Withholding Resuscitation
What is the definition of a patient?;A patient is any individual, or a person called about by a third party, who has a complaint suggestive of potential illness or injury, requests evaluation for potential illness or injury, has obvious evidence of illness or injury, has had an acute event that could reasonably lead to illness or injury, or is in a circumstance that could reasonably lead to illness or injury;Definition of a Patient
Explain what “Against Medical Advice” (AMA) means;AMA means a patient with present mental capacity chooses to refuse recommended evaluation, treatment, and or transport after being informed of relevant risks, benefits, and alternatives. Adults with present mental capacity retain the right to refuse care and or transport against medical advice;Refusal of Treatment and or Transport
Describe “present mental capacity” and steps for assessing capacity;Present mental capacity is the ability of an eligible patient to make an informed decision to accept or refuse care. The patient must be 18 years or older or an emancipated minor, not suicidal or homicidal, and not stripped of decision-making by a court. For refusal to be accepted, the patient must demonstrate all four: <ol><li>Understands their illness or injury and the benefits of treatment and or evaluation</li><li>Understands the consequences, including death, of not seeking treatment and or evaluation</li><li>Understands the alternatives to immediate care by EMS</li><li>Can describe these components in their own words and provide a defined reason for refusing treatment and or transport</li></ol>Use the Determination of Capacity checklist, contact Online Medical Control if there is uncertainty or if capacity is lacking, and document history and exam allowed, absence of suicidal or homicidal ideation, assessment components, and any Online Medical Control contact;Determination of Capacity
Who is a minor in the State of Texas, and why is this important?;A minor is a person under 18 years old who is not and has never been married, or who has not had disabilities of minority removed by a court for general purposes. This matters because minors generally cannot consent to or refuse treatment, may need an appropriate consenter, and may require refusal documentation rather than designation as no patient when no consenter is available;Definition of a Patient
Under what circumstances can a minor accept or refuse treatment/transport?;A minor can consent to or refuse when legally emancipated. A minor may also consent in specific situations without a parent or guardian, including active duty military status, age 16 or older and living separately while managing own financial affairs, diagnosis and treatment of reportable infectious disease, pregnancy related care excluding abortion, treatment related to drug or alcohol dependency, and care for their biological child if unmarried and has custody;Definition of a Patient
What is “emancipation”?;Emancipation is a court granted removal of the disabilities of minority that gives a minor adult rights for medical consent and refusal. In this standard, a minor is considered emancipated if they have obtained a Texas court order of emancipation;Definition of a Patient
Describe the criteria for a pediatric patient;For transport destination decisions, pediatric is any patient younger than 18 years old unless another guideline states otherwise. For selecting treatment guidelines, pediatric is any patient under 37 kg or a patient who can be measured using a PEDIA Tape;Definition of a Patient
Under what circumstances can a provider discontinue prehospital resuscitation?;Unsuccessful CPR and advanced life support interventions may be discontinued prior to transport after adequate and appropriate greater than PL4 therapy and checklist use. For ongoing resuscitation over 30 minutes, inclusion criteria include adequate CPR, managed airway with placement verification, IV or IO access, rhythm appropriate medications and defibrillation, ultrasound when available, and provider agreement, then a greater than PL5 provider contacts OLMC for TOR. A greater than PL5 provider may also seek TOR before 30 minutes based on presentation and clinical judgment. Continue resuscitation and transport in special higher-survival situations such as suspected hypothermia, sustained ROSC, persistent VF or pulseless VT or ongoing neurologic activity, or cardiac motion on ultrasound;Discontinuation of Prehospital Resuscitation
Explain the guideline related to Out of Hospital DNRs (OOHDNR);If presented with a completed OOH-DNR form or OOH-DNR identification device, providers should withhold CPR and listed therapies during cardiac arrest and honor terminal wishes. If uncertain about criteria, resuscitate and contact OLMC. Begin resuscitation until directed otherwise when the patient is pregnant, circumstances are suspicious or unnatural, DNR validity is uncertain, or clarification is needed. OOH-DNR may be original or copy and may come from any US state. A DNR may be revoked by the patient or person who executed the order by destroying the form or device, stating intent to revoke, or physician documented revocation;DNR and Advanced Directives
Under what circumstances do we NOT honor an OOHDNR?;Do not honor an OOHDNR when exceptions apply. Begin resuscitation until directed otherwise if the patient is known to be pregnant, there are indications of unnatural or suspicious circumstances, the existence or validity of the DNR is uncertain, or there is question about whether to honor the order. If unsure, resuscitate and contact OLMC;DNR and Advanced Directives
Under what circumstances can a DNR be overridden?;A DNR can be overridden when the patient or person who executed the order revokes it by destroying the form or directing removal of the identification device, or by telling EMS or the attending physician they intend to revoke it. It can also be overridden when the attending physician or designee documents revocation in the medical record with time, date, and place and marks each page VOID;DNR and Advanced Directives
Under what circumstances must you complete a PCR?;Complete an ePCR for dispatched incidents involving patient contact or when required dispositions apply, with the goal of one ePCR per incident whenever a CAD medical request is generated, even if care is not delivered. Complete a separate report for each patient when patient contact occurs. If dispatched and replaced by another unit from the same agency before arrival, no ePCR is required;Documentation of Patient Care Report
How do you document if you are cancelled prior to arrival?;Select the canceled prior to arrival disposition and document any special circumstances in the narrative. If multiple system organizations responded, at least one credentialed provider from each organization must complete a report accurate to that organization activities;Documentation of Patient Care Report
How do you document if you do not make patient contact?;Select the no patient contact disposition. If the patient could not be located, document efforts made to locate the patient in the narrative. If multiple system organizations responded, at least one credentialed provider from each organization must complete a report accurate to that organization activities;Documentation of Patient Care Report
What should be included in a PCR?;A PCR should include chief complaint and event history, detailed assessment and rationale, complete physical assessment, initial complete vital signs and pertinent findings, condition-specific details, ongoing monitoring and condition changes, chronological assessments and interventions with results, medication details and response, procedure details such as IV specifics and failed attempts, required monitor strips, requested orders and physician names, narcotic waste documentation when applicable, explanation for any indicated COG action not done, and documentation of all involved credentialed providers and organization specific care;Documentation of Patient Care Report
How would you document if an indicated and appropriate assessment, intervention, or action prescribed by the COGs did NOT occur?;Include a clear explanation in the ePCR of why the indicated and appropriate assessment, intervention, or action prescribed by the Clinical Operating Guidelines did not occur;Documentation of Patient Care Report
What is included in a complete set of vital signs?;A complete initial set includes pulse rate peripheral or central, systolic and diastolic blood pressure, respiratory rate, pain severity score with scale used plus treatment and response, cumulative GCS with individual subscores, and body temperature;Documentation of Vital Signs
Under what circumstances would you also include pulse oximetry, end-tidal CO2, and ECG monitoring?;Include pulse oximetry, end-tidal CO2, and electrical heart rate from cardiac monitoring based on the patient condition and complaint as clinically indicated;Documentation of Vital Signs
Why should the first blood pressure be manual?;Initial vital signs should be obtained manually to establish a reliable baseline before using electronic measurements. Subsequent electronic values should correlate with the manual set, and if there is discrepancy manual vitals should be continued;Documentation of Vital Signs
Are you required to wear your credential badges on scene?  Why/why not?;Yes. Credential badges should be visibly worn when providing patient care because proper identification is required and helps patients and responders identify credential level and capabilities. Exceptions exist when protective outerwear is required, such as bunker gear or rain gear. Badge display does not replace verbally identifying your role and credentials to the patient and team;Identification Badges
Explain what happens if a provider provides care that they are not credentialed to perform.;Practicing outside credentialed scope is a reportable patient safety event and must be reported immediately to the on-duty Designated Medical Officer, Fire Medical Officer, or agency patient safety representative. The event is then handled through the system clinical quality improvement and review process;Patient Safety Event Reporting
Discuss the process of medical cross-check and why it’s a patient safety process.;For medication administration, providers use drug formulary dosing references and perform a documented visual verification plus a Medication Administration Cross Check. The checklist is completed independently by a second credentialed provider to verify critical information before administration. This process reduces medication errors and prevents harm by catching mistakes before they reach the patient;Patient Safety and Medication Administration Safety
What must be documented regarding medication administration and medication safety procedures?;Document all medication details completely in the PCR including medication name, dose, route, time, indication, and patient response. Also document completion of medication safety procedures, including visual verification and medication administration cross-check per the medication safety standard;Medication Administration Safety
